,pipeline_name,parameters,score,scores,training_time,result_number
0,RFPipeline,"{'n_estimators': 569, 'max_depth': 630, 'strategy': 'most_frequent'}",0.9560669456066946,"[0.9731404958677686, 0.9560669456066946, 0.9747368421052631]",4.55770206451416,0
1,XGBoostPipeline,"{'eta': 0.6235636967859725, 'min_child_weight': 4.459435365634299, 'max_depth': 7, 'strategy': 'mean'}",0.9389473684210526,"[0.9586776859504132, 0.9539748953974896, 0.9389473684210526]",7.315500736236572,2
2,XGBoostPipeline,"{'eta': 0.5928446182250184, 'min_child_weight': 8.598391737229157, 'max_depth': 4, 'strategy': 'most_frequent'}",0.9305263157894736,"[0.9586776859504132, 0.9497907949790795, 0.9305263157894736]",6.485895872116089,1
